twitter_id,name,created_at,text
1338093776401797121,linda_nobull,12/13/20,"'RT @LeahButlerSmith: For months now a Scientist who worked in the hospital lab, on PCR test kept asking ...  What is the specific identifie…'"
1338093777035153408,alkanomega,12/13/20,'One of the real #science people involved in #Covid. Much more sensible than most of #SAGE  The complexity to which… https://t.co/vzSqednYj1'
1338093778800943107,greg_lanre,12/13/20,"'Aaaaaaaaaaah... He is an Arsenal fan. Now, everything falls in place 😂😂🤣'"
1338093779530768384,DanielJDrucker,12/13/20,"'For years the NSC glam Journals would reject papers with ""Descriptive observations, no mechanism"" Then with acute c… https://t.co/LUy6jdfOOJ'"
1338093787562708992,airnews_silchar,12/13/20,"'RT @FinMinIndia: #FinMin2020 ➡️To ease tax compliance during #COVID19, the timeline for filing of ITR for FY 2019-20 for individuals etc ha…'"
1338093788242137088,11thHourLib,12/13/20,'RT @DrEricDing: PANDEMIC DENIALISM LUNACY. All #COVID19 deniers should have to volunteer / work in the hospital or a morgue themselves... w…'
1338093788879872000,Robert__Farkas,12/13/20,"'RT @DrEricDing: 📍DON’T CHASE SWEDISH HERD STRATEGY. As many know, 🇸🇪 took the careless “herd” strategy in spring to let the coronavirus run…'"
1338093790373031936,JanePowers1,12/13/20,"'RT @FLTeacher69: @MollyJongFast Yet careless, 76 year old, cigar smoking, heavy drinking Rudy Giuliani got COVID19 treatment only privilege…'"
1338093791257870336,dwinucleo,12/13/20,'RT @catreonot: A brief history of 2020 about COVID19 in Indonesia'
1338093791664803841,SigularityHub,12/13/20,'RT @HarbRimah: 4 tips to upgrade your programmatic advertising with Machine Learning https://t.co/Nr4OKr7eXY   #MachineLearning #DataScienc…'
1338093791459168256,Fitriii70105744,12/13/20,'Hope you guys can meet treasure makers in person really soon.... hope covid19 will end....   #treasure… https://t.co/nadcgNwYLB'
1338093794412072960,AndrewDHD,12/13/20,'RT @SciOfFiPodcast: Should we do a Covid/Pandemic episode?  #Podcast #Podcasting #PodernFamily #Science #Physics #COVID19 #PlanetoftheApes…'
1338093797129990144,Olwyn_55,12/13/20,'RT @karenr79: Because governments have ‘raided’ the pension pot.  Criminals!'
1338093806214930434,RealJohnNightSA,12/13/20,'Politicians and covid19 has ruined almost everything this year condolence to ur farmily and the yellow nation &amp; PSL… https://t.co/IVSzoltMby'
1338093807821352961,ZubairMalikk,12/13/20,"'RT @DrSaqlainSh: Defying all sanity in this pandemic, the #PDM fools are risking people's lives for their vested interests.   #COVID19, lik…'"
1338093809423544320,Ailolailo64,12/13/20,'Abride #Lugo !'
1338093811004628993,RPOBB,12/13/20,'Negotiations unsuccessful. #BigMountainMusicFestival2020 to remain shut down. #BMMF11 #COVID19 #Thailand'
1338093812770631683,YahooIndia,12/13/20,"'If You Have These COVID Symptoms, Seek ""Urgent"" Care  https://t.co/hBfcvabMsR  #COVID19 #Coronavirus'"
1338093812896284675,ABSCBNNews,12/13/20,"'Total #COVID19 cases among Filipinos abroad now at 12,308 with 8 new cases https://t.co/dNUOXZrsMm'"
