,twitter_id,name,created_at,text
222,1338093947290329089,Mark_Weston,12/13/20,rt  audrey ellis 29yo transplant rn uc downtown denver hospital   died of covid19 cardiac damage 322 she loved life irish d
223,1338093948087185422,education_24x7,12/13/20,rt  wb   digitaldev    nigeria covid19 shown importance of mobil
224,1338093948217171970,CraigHibbs,12/13/20,rt  the next 3 months will be the darkest winter in american history please protect your families and your community covid19
225,1338093949144231938,theaudioco,12/13/20,rt  stockholms icu capacity hit 99 this week sweden  is also completely out of icu nursing staff because of high resignati
226,1338093949735628801,NewWorldQ1,12/13/20,  as if you need this proof but i will attach your names to it so that others can see the 
227,1338093950469550082,FET_Ov_EqCOVID,12/13/20,an apple a day doesnt always keep the doctor away   keep calm and  wash your hands stay home 
228,1338093954395410432,CargoJetgirl,12/13/20,rt  i want to share my story with you i think given my last post it is important i am a participant in a phase 3 clinical trial fo
229,1338093958791106567,Raffern,12/13/20,rt  tell me again how masks work  its about control the science does not support it masksdontwork covid19  
230,1338093961211088898,BreeErhardt,12/13/20,i wanted to be in the trial so that black people would be represented  read this thread on this physicians expe 
231,1338093961475485696,FirstThemNEWS,12/13/20,rt  the word on the streets of california is that meff cures the covid19   this woman apparently is self administering
232,1338093961529921543,FinallyFreeUSA,12/13/20,birthing people we are erasing women from society henceforth women will be known as people who bleed and birthi 
233,1338093962679087107,KottapalliD,12/13/20,rt  rafiabad army under aegis of kiloforce conducted khairiyat patrol by duniwar camp to provide medical aid to peopl
